ITEM_CODE','START_DATE','END_DATE',AMOUNT',STATE'
'20387',2/2/2022,12/31/2099,33.32,PA
'20537',2/8/2022,12/31/2099,28.8,PA
'20539',2/8/2022,12/31/2099,30,PA
'20540',2/8/2022,12/31/2099,30,PA
'20601',2/12/2020,12/31/2099,48.89,PA
'20752',1/10/2020,12/31/2099,69.79,PA
'20815',1/10/2020,12/31/2099,69.79,PA
'20842',3/23/2022,12/31/2099,28.21,PA
'70336',5/4/2022,12/31/2099,48.6,PA
'70337',5/4/2022,12/31/2099,48.6,PA
'70338',5/4/2022,12/31/2099,48.6,PA
'70339',2/1/2022,12/31/2099,42.67,PA
'70340',12/28/2021,12/31/2099,57,PA
'70381',2/16/2022,12/31/2099,34.54,PA
'70382',2/16/2022,12/31/2099,34.54,PA
'70384',2/16/2022,12/31/2099,36.84,PA
'70385',2/16/2022,12/31/2099,34.54,PA
'70386',2/16/2022,12/31/2099,34.89,PA
'70387',2/16/2022,12/31/2099,34.89,PA
'70388',2/16/2022,12/31/2099,34.89,PA
'70390',2/16/2022,12/31/2099,33.55,PA
'20016',4/2/2022,12/31/2099,54.47,PA
'20018',4/2/2022,12/31/2099,54.47,PA
'20064',3/12/2022,12/31/2099,12.68,PA
'20096',5/21/2022,12/31/2099,45.09,PA
'20103',1/10/2020,12/31/2099,38.59,PA
'20261',9/18/2021,12/31/2099,56.69,PA
'20284',5/7/2022,12/31/2099,35.53,PA
'20296',5/7/2022,12/31/2099,28.41,PA
'20311',1/10/2020,12/31/2099,48.29,PA
'20319',1/1/2022,12/31/2099,121.35,PA
'20366',3/26/2022,12/31/2099,32.65,PA
'20367',3/26/2022,12/31/2099,32.65,PA
'20368',3/26/2022,12/31/2099,32.65,PA
'20370',3/26/2022,12/31/2099,32.65,PA
'20391',5/14/2021,12/31/2099,639.1,PA
'20392',3/26/2022,12/31/2099,29.55,PA
'20396',3/26/2022,12/31/2099,29.55,PA
'20428',10/16/2021,12/31/2099,114.12,PA
'20436',12/4/2021,12/31/2099,18.52,PA
'20446',6/25/2020,12/31/2099,70.3,PA
'20551',3/12/2022,6/17/2022,21.92,PA
'20551',6/18/2022,12/31/2099,22.41,PA
'20552',1/1/2022,12/31/2099,30.6,PA
'20578',10/30/2021,12/31/2099,29.31,PA
'20580',8/1/2020,12/31/2099,22.04,PA
'20581',1/10/2020,12/31/2099,21.82,PA
'20589',5/14/2022,12/31/2099,71.24,PA
'20591',5/28/2022,12/31/2099,31.95,PA
'20591',1/10/2020,5/27/2022,29.26,PA
'20592',10/30/2021,12/31/2099,35.23,PA
'20604',3/19/2022,12/31/2099,10.07,PA
'20605',3/19/2022,12/31/2099,8.67,PA
'20607',3/19/2022,12/31/2099,10.77,PA
'20611',2/26/2022,12/31/2099,22.21,PA
'20613',2/26/2022,12/31/2099,22.21,PA
'20621',3/19/2022,12/31/2099,12.89,PA
'20627',6/4/2022,12/31/2099,12,PA
'20627',1/10/2020,6/3/2022,11.15,PA
'20628',12/22/2021,6/3/2022,18.8,PA
'20628',6/4/2022,12/31/2099,21.36,PA
'20630',3/19/2022,12/31/2099,5.11,PA
'20636',3/19/2022,5/27/2022,7.12,PA
'20636',5/28/2022,12/31/2099,7.35,PA
'20638',4/9/2022,12/31/2099,16.45,PA
'20641',5/7/2022,12/31/2099,34.59,PA
'20642',5/7/2022,12/31/2099,34.59,PA
'20643',1/10/2020,12/31/2099,286.38,PA
'20649',5/14/2021,12/31/2099,639.1,PA
'20662',5/7/2022,12/31/2099,19.62,PA
'20663',5/7/2022,12/31/2099,19.62,PA
'20664',3/19/2022,12/31/2099,8.67,PA
'20667',3/19/2022,12/31/2099,10.07,PA
'20669',3/5/2022,5/27/2022,7.75,PA
'20669',5/28/2022,12/31/2099,8.5,PA
'20673',3/19/2022,12/31/2099,6.15,PA
'20675',3/19/2022,12/31/2099,6.15,PA
