ITEM_CODE',DEAL_TYPE',START_DATE',END_DATE',AMOUNT',STORE_NUMBER'
'70189',Ad Special,11/7/22,11/27/22,5.7,'52791'
'70184',Ad Special,11/7/22,11/27/22,5.7,'53326'
'70187',Ad Special,11/7/22,11/27/22,5.7,'50101'
'70185',Ad Special,11/7/22,11/27/22,5.7,'53354'
'20803',Best Buy,8/6/22,9/4/22,2,'55848'
'70202',Ad Special,5/16/22,6/5/22,4.8,'51846'
'70202',Ad Special,6/20/22,7/10/22,6,'51116'
'20673',Ad Special,5/30/22,6/19/22,0.72,'54009'
'20607',Ad Special,5/30/22,6/19/22,0.45,'54089'
'20630',Ad Special,6/6/22,6/26/22,1.28,'54605'
'20630',Ad Special,5/9/22,5/29/22,1.28,'53903'
'20767',Ad Special,5/23/22,6/12/22,1.05,'56002'
'20675',Ad Special,5/30/22,6/19/22,0.72,'56022'
'20537',Ad Special,6/20/22,7/10/22,3,'53993'
'20539',Ad Special,6/20/22,7/10/22,3,'52793'
'20540',Ad Special,6/20/22,7/10/22,3,'53901'
'20537',Ad Special,5/16/22,6/5/22,3,'54123'
'20539',Ad Special,5/16/22,6/5/22,3,'53571'
'20540',Ad Special,5/16/22,6/5/22,3,'51687'
'20767',Ad Special,6/20/22,7/10/22,1.05,'58206'
'70436',Ad Special,6/13/22,7/3/22,1.5,'56114'
'70436',Ad Special,8/15/22,9/4/22,1.5,'55940'
'20884',Best Buy,6/25/22,7/24/22,3.96,'52138'
'20798',Best Buy,6/25/22,7/24/22,3.96,'53989'
'20799',Best Buy,6/25/22,7/24/22,3.96,'54191'
'70003',Ad Special,5/30/22,6/19/22,1.04,'52791'
'20834',Ad Special,6/6/22,6/26/22,6.36,'53326'
'20834',Ad Special,5/9/22,5/29/22,4.44,'50101'
'40086',Ad Special,5/9/22,5/29/22,4.8,'53354'
'70343',Ad Special,5/16/22,6/5/22,6.12,'55848'
'70342',Ad Special,5/16/22,6/5/22,6.12,'51846'
'70268',Best Buy,5/7/22,6/5/22,3.96,'51116'
'70270',Best Buy,5/7/22,6/5/22,3.96,'54009'
'70349',Ad Special,6/20/22,7/10/22,9.6,'54089'
'70351',Ad Special,6/20/22,7/10/22,9.6,'54605'
