'STORE_NUMBER',CHAIN',STATE',STORE_NAME'
'52791',152,PA,BARTVILLE STORE & LOCKER
'53326',152,PA,'SAYLOR''S MARKET'
'50101',150,NY,'2589 WESTSIDE MKT LLC*'
'53354',150,NY,FOOD FEST DEPOT*
'55848',150,NY,ALMOND FRUIT CORP.*
'51846',150,NY,CATSKILL GROCERS
'51116',150,PA,'AMELIA''S GROCERY OUTLET #716'
'54009',150,NY,IDEAL FOOD BASKET*
'54089',152,PA,R&M VARIETY SHOP
'54605',150,PA,'LEE''S FOOD MARKET'
'53903',152,PA,CFM #3037
'56002',150,PA,'PIPPY''S CORP.'
'56022',150,NY,MET-FOOD CONNECT LTD*
'53993',154,PA,'AHART''S MARKET'
'52793',150,PA,'SPRANKLE''S NEIGHBORHOOD MARKET'
'53901',152,PA,'FIGUEROA''S MARKET'
'54123',150,NY,FAMILYS GROCERS*
'53571',150,PA,OZBO
'51687',150,PA,RUTTERS FARM STORE #18
'58206',150,NY,MET-NYD*
'56114',150,NY,'112 LUIS MEAT CORP*'
'55940',150,PA,POTTSVILLE PROVISION COMPANY
'52138',152,NY,CHENANGO BRIDGE R & W GROCERY
'53989',150,PA,SUPREMO-ALLENTOWN
'54191',152,NY,RELIABLE MARKET
